Region,Season,mean_Total,std_Total,mean_incipient,std_incipient,mean_intensification,std_intensification,mean_mature,std_mature,mean_decay,std_decay,mean_intensification 2,std_intensification 2,mean_mature 2,std_mature 2,mean_decay 2,std_decay 2,mean_residual,std_residual
Total,DJF,18.7,8.9,18.6,11.1,19.0,9.7,18.4,10.4,18.8,9.7,18.6,11.0,17.6,10.9,18.3,10.3,18.8,10.9
ARG,DJF,18.7,9.1,18.8,11.1,18.6,9.9,18.4,10.6,18.6,9.8,18.9,10.8,19.0,11.6,19.3,10.9,18.9,11.0
LA-PLATA,DJF,18.8,9.6,19.1,11.5,18.6,10.4,18.0,10.4,18.5,10.2,18.2,10.1,17.4,11.3,17.9,10.6,18.3,10.4
SE-BR,DJF,19.0,9.5,18.9,11.2,18.6,10.3,18.5,11.1,18.9,10.3,17.7,10.5,17.7,10.2,18.1,10.6,18.6,10.1
SE-SAO,DJF,19.0,9.4,19.0,11.6,19.1,10.2,18.7,11.0,18.8,9.9,19.3,10.9,18.7,10.6,19.1,10.7,19.3,10.9
AT-PEN,DJF,18.9,9.7,18.8,12.2,18.6,10.4,17.7,10.7,18.7,10.3,19.2,12.0,17.7,11.4,19.7,12.3,17.0,9.8
WEDDELL,DJF,18.5,9.5,18.4,11.4,18.1,9.8,17.7,10.3,18.5,10.6,18.9,10.8,18.5,10.7,18.2,10.8,19.7,12.7
SA-NAM,DJF,19.1,10.1,19.4,12.3,18.9,11.3,18.1,11.6,19.0,11.1,18.0,10.1,16.6,10.5,18.0,10.7,18.9,11.0
Total,JJA,21.0,10.5,20.8,13.4,21.0,11.5,20.5,12.4,20.7,11.3,20.5,12.7,20.6,13.2,21.0,12.2,20.5,13.5
ARG,JJA,21.1,11.5,20.7,13.1,20.9,12.0,20.2,12.5,20.9,12.0,21.1,13.1,20.9,13.7,21.0,12.4,21.3,14.1
LA-PLATA,JJA,21.1,10.9,20.5,13.1,20.9,11.7,20.0,12.2,21.0,12.2,21.4,12.4,21.0,13.1,21.0,12.9,20.7,12.1
SE-BR,JJA,21.0,11.5,21.3,13.6,21.2,12.2,20.6,12.8,20.3,11.6,19.6,11.3,18.4,11.6,20.4,12.7,20.8,11.5
SE-SAO,JJA,21.2,10.9,21.2,13.0,21.2,12.0,21.3,13.0,21.1,12.1,20.1,12.3,18.7,10.9,20.8,13.2,20.1,13.0
AT-PEN,JJA,21.9,11.8,21.4,13.9,21.6,12.7,22.0,13.8,22.0,12.8,21.8,13.2,19.7,11.9,20.7,11.6,21.1,13.5
WEDDELL,JJA,21.1,11.7,20.7,12.9,21.2,12.4,20.4,13.2,20.8,12.5,18.6,12.1,19.7,12.2,21.0,13.5,21.9,15.2
SA-NAM,JJA,21.3,12.1,20.5,12.7,20.9,13.0,20.2,13.4,20.8,12.9,20.3,13.4,18.8,12.5,21.4,13.0,20.9,13.8
Total,,20.3,10.0,20.3,12.5,20.3,11.0,19.9,11.9,20.2,10.9,19.8,11.9,19.9,12.9,20.0,11.7,20.0,12.3
ARG,,20.4,10.6,20.0,12.2,20.2,11.2,19.8,12.1,20.3,11.3,20.2,12.1,19.4,12.4,20.3,12.0,20.5,12.8
LA-PLATA,,20.5,10.5,20.3,12.6,20.1,11.4,19.6,12.0,20.2,11.5,20.3,11.7,20.2,12.7,20.3,12.2,19.8,11.6
SE-BR,,20.4,10.8,20.5,12.8,20.1,11.5,19.9,12.4,20.0,11.5,19.4,11.6,19.1,11.5,19.5,11.4,20.0,11.1
SE-SAO,,20.6,10.6,20.7,12.9,20.6,11.5,20.3,12.2,20.4,11.3,20.4,12.3,19.4,11.8,20.3,12.2,20.2,12.4
AT-PEN,,20.7,11.2,20.3,13.3,20.4,11.9,20.2,12.6,20.4,11.6,20.7,12.5,19.4,12.5,20.3,12.0,20.2,12.4
WEDDELL,,20.5,11.1,20.3,13.1,20.2,11.8,19.7,12.4,20.3,11.9,19.1,11.7,19.3,12.1,20.0,12.2,21.2,13.5
SA-NAM,,20.7,11.3,20.3,12.8,20.3,12.1,19.7,12.8,20.3,12.1,19.8,12.5,19.1,12.9,20.2,12.5,20.1,12.2
